cd_clean,female,age_bin,educ_bin,race_bin,population
AL-05,0,18-29,no_college,other,1207
AL-05,0,18-29,some_college,white,11816
AL-05,0,18-29,some_college,black,2962
AL-05,0,18-29,some_college,hispanic,944
AL-05,0,18-29,some_college,other,985
AL-05,0,18-29,college_plus,white,14621
AL-05,0,18-29,college_plus,black,3665
AL-05,0,18-29,college_plus,hispanic,1169
AL-05,0,18-29,college_plus,other,1218
AL-05,0,30-44,no_college,white,17323
AL-05,0,30-44,no_college,black,4343
AL-05,0,30-44,no_college,hispanic,1385
AL-05,0,30-44,no_college,other,1444
AL-05,0,30-44,some_college,white,14135
AL-05,0,30-44,some_college,black,3543
AL-05,0,30-44,some_college,hispanic,1130
AL-05,0,30-44,some_college,other,1178
AL-05,0,30-44,college_plus,white,17489
AL-05,0,30-44,college_plus,black,4384
AL-05,0,30-44,college_plus,hispanic,1398
AL-05,0,30-44,college_plus,other,1458
AL-05,0,45-64,no_college,white,24287
AL-05,0,45-64,no_college,black,6088
AL-05,0,45-64,no_college,hispanic,1941
AL-05,0,45-64,no_college,other,2024
AL-05,0,45-64,some_college,white,19817
AL-05,0,45-64,some_college,black,4968
AL-05,0,45-64,some_college,hispanic,1584
AL-05,0,45-64,some_college,other,1652
AL-05,0,45-64,college_plus,white,24521
AL-05,0,45-64,college_plus,black,6147
AL-05,0,45-64,college_plus,hispanic,1960
AL-05,0,45-64,college_plus,other,2043
AL-05,0,65+,no_college,white,13261
AL-05,0,65+,no_college,black,3324
AL-05,0,65+,no_college,hispanic,1060
AL-05,0,65+,no_college,other,1105
AL-05,0,65+,some_college,white,10820
AL-05,0,65+,some_college,black,2712
AL-05,0,65+,some_college,hispanic,865
AL-05,0,65+,some_college,other,902
AL-05,0,65+,college_plus,white,13388
AL-05,0,65+,college_plus,black,3356
AL-05,0,65+,college_plus,hispanic,1070
AL-05,0,65+,college_plus,other,1116
AL-05,1,18-29,no_college,white,14000
AL-05,1,18-29,no_college,black,3509
AL-05,1,18-29,no_college,hispanic,1119
AL-05,1,18-29,no_college,other,1167
AL-05,1,18-29,some_college,white,11423
AL-05,1,18-29,some_college,black,2864
AL-05,1,18-29,some_college,hispanic,913
AL-05,1,18-29,some_college,other,952
AL-05,1,18-29,college_plus,white,14134
AL-05,1,18-29,college_plus,black,3543
AL-05,1,18-29,college_plus,hispanic,1130
AL-05,1,18-29,college_plus,other,1178
AL-05,1,30-44,no_college,white,17154
AL-05,1,30-44,no_college,black,4300
AL-05,1,30-44,no_college,hispanic,1371
AL-05,1,30-44,no_college,other,1430
AL-05,1,30-44,some_college,white,13996
AL-05,1,30-44,some_college,black,3509
AL-05,1,30-44,some_college,hispanic,1119
AL-05,1,30-44,some_college,other,1166
AL-05,1,30-44,college_plus,white,17318
AL-05,1,30-44,college_plus,black,4341
AL-05,1,30-44,college_plus,hispanic,1384
AL-05,1,30-44,college_plus,other,1443
AL-05,1,45-64,no_college,white,24312
AL-05,1,45-64,no_college,black,6095
AL-05,1,45-64,no_college,hispanic,1943
AL-05,1,45-64,no_college,other,2026
AL-05,1,45-64,some_college,white,19837
AL-05,1,45-64,some_college,black,4973
AL-05,1,45-64,some_college,hispanic,1585
AL-05,1,45-64,some_college,other,1653
AL-05,1,45-64,college_plus,white,24545
AL-05,1,45-64,college_plus,black,6153
AL-05,1,45-64,college_plus,hispanic,1962
AL-05,1,45-64,college_plus,other,2046
AL-05,1,65+,no_college,white,16796
AL-05,1,65+,no_college,black,4210
AL-05,1,65+,no_college,hispanic,1342
AL-05,1,65+,no_college,other,1400
AL-05,1,65+,some_college,white,13705
AL-05,1,65+,some_college,black,3436
AL-05,1,65+,some_college,hispanic,1095
AL-05,1,65+,some_college,other,1142
AL-05,1,65+,college_plus,white,16957
AL-05,1,65+,college_plus,black,4251
AL-05,1,65+,college_plus,hispanic,1355
AL-05,1,65+,college_plus,other,1413
AL-06,0,18-29,no_college,white,11781
AL-06,0,18-29,no_college,black,3356
AL-06,0,18-29,no_college,hispanic,895
AL-06,0,18-29,no_college,other,727
AL-06,0,18-29,some_college,white,10094
AL-06,0,18-29,some_college,black,2875
AL-06,0,18-29,some_college,hispanic,767
AL-06,0,18-29,some_college,other,623
AL-06,0,18-29,college_plus,white,13875
AL-06,0,18-29,college_plus,black,3952
AL-06,0,18-29,college_plus,hispanic,1054
AL-06,0,18-29,college_plus,other,856
AL-06,0,30-44,no_college,white,16346
AL-06,0,30-44,no_college,black,4656
AL-06,0,30-44,no_college,hispanic,1242
AL-06,0,30-44,no_college,other,1008
AL-06,0,30-44,some_college,white,14005
AL-06,0,30-44,some_college,black,3989
AL-06,0,30-44,some_college,hispanic,1064
AL-06,0,30-44,some_college,other,864
AL-06,0,30-44,college_plus,white,19251
AL-06,0,30-44,college_plus,black,5483
AL-06,0,30-44,college_plus,hispanic,1463
AL-06,0,30-44,college_plus,other,1187
AL-06,0,45-64,no_college,white,20844
